Unnamed: 0,review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label,cleaned_review_body,lemma_review_body,forAnalysis,predicted_sentiment,predicted_sentiment_score,predicted_emotions,emotion,cons_list
0,8731021068,2,Nice but not happy with the packaging,Genuine products but packaging needs improvement,Reviewed in India on 13 June 2023,/gp/customer-reviews/R3DAUKBP470461/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,1,India,13-06-2023,NEGATIVE,genuine products packaging needs improvement,genuine product packaging need improvement,True,NEGATIVE,0.987890362739563,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.8831895589828491, 'sadness': None, 'surprise': None}",['neutral'],"['Packaging quality is subpar or unsatisfactory', 'Possibility of counterfeit items within genuine product lineup (implied concern)']"
4,Aashi Attut,2,Very poor battery life,The battery drains too quickly for a new phone. Hate it.,Reviewed in India on 13 July 2022,/gp/customer-reviews/R1N08YFMHMI3T6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,5,India,13-07-2022,NEGATIVE,battery drains quickly for new phone hate,battery drain quickly for new phone hate,True,NEGATIVE,0.99945729970932,"{'anger': 0.776588499546051, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",['anger'],"['Battery life is short', 'Dislikes overall product experience due to poor battery performance']"
5,abdul sherif pk,2,Exchange Impossible,"Like,courier agent was desappointed me. My order is is under exchange bit at the tine of delivery, the agent said that my existing phone not qualified for exchange. He rejected my phone and he go back on",Reviewed in India on 16 October 2023,/gp/customer-reviews/R8YX5RG1VJ58F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,6,India,16-10-2023,NEGATIVE,like courier agent desappointed my order under exchange bit tine delivery agent said my existing phone not qualified for exchange rejected my phone go back on,like courier agent desappointe my order under exchange bit tine delivery agent say my exist phone not qualified for exchange reject my phone go back on,True,NEGATIVE,0.9991986155509948,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7148452401161194, 'surprise': None}",['sadness'],"[""Agent's disappointment with customer service experience"", 'Rejection of the original device as it was unqualified for an exchange', 'Lack of qualification criteria made clear to customers beforehand, leading to confusion during delivery', 'Possible delay in receiving a new or replacement phone due to agent going back on at the time of delivery']"
10,Aditya,4,Good,"As everyone knows it is very Good mobile, but how ever you use battery health percentage will keep decreasing, for me this only issue with iphones",Reviewed in India on 11 April 2024,/gp/customer-reviews/R1NZ5KF4I1Q2FK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,11,India,11-04-2024,POSITIVE,everyone knows good mobile how ever use battery health percentage keep decreasing for only issue with iphones,everyone know good mobile how ever use battery health percentage keep decrease for only issue with iphone,True,NEGATIVE,0.9889748096466064,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.7416539192199707, 'sadness': None, 'surprise': None}",['neutral'],['Decreasing battery health percentage over time on iPhone usage.']
11,Aditya,1,I phone 13 stopped working within a month.,"My phone stopped working within a month. It was giving nice battery back up, cameras were good everything was fine then suddenly one day phone starts heating, It was so hot that i was unable to touch it at the same time battery was also draining very fast 1% in every 10 seconds. Then eventually phone became dead. Today I left the phone at service center and I am not sure whether issue will be resolved or not. But it was a very bad experience buying an apple product first time. I don't know it happens with only online products or offline products too. But really feeling disappointed today.. Apple is not apple anymore.",Reviewed in India on 11 November 2023,/gp/customer-reviews/R1A0J4V2RWJMGG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,12,India,11-11-2023,NEGATIVE,my phone stopped working within month giving nice battery back cameras good everything fine suddenly one day phone starts heating hot unable touch same time battery also draining fast 1 in every 10 seconds eventually phone became dead today left phone service center not sure whether issue resolved not bad experience buying apple product first time know happens with only online products offline products really feeling disappointed today apple not apple anymore,my phone stop work within month give nice battery back camera good everything fine suddenly one day phone start heat hot unable touch same time battery also drain fast 1 in every 10 second eventually phone become dead today leave phone service center not sure whether issue resolve not bad experience buy apple product first time know happen with only online product offline product really feel disappointed today apple not apple anymore,True,NEGATIVE,0.999509572982788,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.9763761758804321, 'surprise': None}",['sadness'],"['Phone stopped working within a month', 'Overheating issue, phone became so hot to touch', 'Battery draining very fast (1% in every 1term)', 'Eventually the phone became dead and had to be sent for service', 'Disappointment with Apple product quality after only one experience']"
12,Adnan,2,Phone is very good,I order 9 oct and receive 20 oct to late delivery from Amazon,Reviewed in India on 20 October 2023,/gp/customer-reviews/R1S1UBQSI0H13R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,13,India,20-10-2023,NEGATIVE,order 9 oct receive 20 oct late delivery amazon,order 9 oct receive 20 oct late delivery amazon,True,NEGATIVE,0.9992765784263612,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Late delivery (received two weeks later than expected)', 'Discrepancy between ordered quantity and received quantity, leading to potential dissatisfaction with the product value for money.']"
14,Aishwarya Narayanan,1,Super Disappointed: Completely stopped working after 1.5 years,"This was my first iPhone purchase and it was working fine for 1.5 years - although I had complains about the battery life which kept getting worse with time to the point that I had to carry a power bank with me always.Randomly one day out of the blue, the phone crashed & now it's not turning on - when I took it to the service centre they said it's due to motherboard issue and it will cost us 40k to replace it. My phone is prime condition, I have not dropped it, there is not even a scratch on it. I wonder how there can be a hardware issue while it was working fine just few moments before crash. Also, this happened a few days after I installed iOS 17 - so that is also a suspect.",Reviewed in India on 3 October 2023,/gp/customer-reviews/RY07A1820TUVO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,15,India,03-10-2023,NEGATIVE,my first iphone purchase working fine for 1 5 years although complains about battery life kept getting worse with time point carry power bank with always randomly one day out blue phone crashed not turning on took service centre said due motherboard issue cost us 40k replace my phone prime condition not dropped not even scratch on wonder how hardware issue working fine moments before crash also happened days after installed ios 17 also suspect,my first iphone purchase working fine for 1 5 year although complain about battery life keep get bad with time point carry power bank with always randomly one day out blue phone crash not turn on take service centre say due motherboard issue cost we 40k replace my phone prime condition not drop not even scratch on wonder how hardware issue work fine moment before crash also happen day after instal io 17 also suspect,True,NEGATIVE,0.9984989166259766,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': 0.8121306300163269}",['surprise'],"['Battery life kept getting worse over time to the point of needing a power bank constantly.', ""Phone randomly crashed and now it's not turning on at all."", 'Motherboard issue causing hardware failure, despite phone being in prime condition with no physical damage or misuse.', 'The occurrence happened shortly after installing iOS 17, raising suspicion that the software update might be related to the problem.']"
16,Ajay Kumar,2,Adaptor didnot work,"Adaptor supplied with it was not working, when taken to authorized service center they said the adaptor was fake.Do not bur adaptor with it.",Reviewed in India on 27 June 2023,/gp/customer-reviews/R1SESHPIVEXJMH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,17,India,27-06-2023,NEGATIVE,adaptor supplied with not working taken authorized service center said adaptor fake not bur adaptor with,adaptor supply with not work take authorize service center say adaptor fake not bur adaptor with,True,NEGATIVE,0.99945729970932,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['The provided power adapter did not work.', 'Upon inspection at an authorized service center, the adapters were identified as counterfeit (fake).', 'Customers are cautioned against using this non', 'functional and fake adapter due to potential safety risks or damage to their devices.']"
19,amarjeet,1,Battery problem,"I am facing battery problem. The battery drops 26% within 4 to 5 hours in ideal conditions, even with the internet off and no third-party apps downloaded.This is my first Apple phone. I have spent my hard-earned money and now I feel cheated.",Reviewed in India on 10 August 2024,/gp/customer-reviews/R1W9HG30XUOP5L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,20,India,10-08-2024,NEGATIVE,facing battery problem battery drops 26 within 4 5 hours in ideal conditions even with internet off no third party apps downloaded my first apple phone spent my hard earned money feel cheated,face battery problem battery drop 26 within 4 5 hour in ideal condition even with internet off no third party app download my first apple phone spend my hard earn money feel cheat,True,NEGATIVE,0.9994887113571168,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.9844074249267578, 'surprise': None}",['sadness'],"['Battery drains quickly (loses significant charge within a few hours)', 'Possible quality issue or defect with the battery, as it does not last even under ideal conditions without using internet or running third', 'party apps', 'Feeling of being deceived due to spending hard', 'earned money on product that did not meet expectations']"
21,Amazon Customer,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHavepersonal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",Reviewed in India on 2 July 2024,/gp/customer-reviews/R1293VGUFGE1PA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,22,India,02-07-2024,NEGATIVE,bought iphone 13 manufacturing defect phone doesn thavepersonal hotspot airdrop blocked not turning on deception afford in foreign my friend bought iphone not in position even return iphone,buy iphone 13 manufacturing defect phone doesn thavepersonal hotspot airdrop block not turn on deception afford in foreign my friend buy iphone not in position even return iphone,True,NEGATIVE,0.999488353729248,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Manufacturing defect with personal hotspot and AirDrop functionality.', 'Phone is unresponsive or blocked, unable to turn on.', 'Feels like deception due to the issues faced after purchase.', 'Unable to afford repairs for these problems.', 'In a foreign country without access to return this iPhone.']"
