review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label
8731021068,2,Nice but not happy with the packaging,Genuine products but packaging needs improvement,Reviewed in India on 13 June 2023,/gp/customer-reviews/R3DAUKBP470461/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,1,India,13-06-2023,NEGATIVE
Aakash Sharma,1,Iphone,I love iPhone 13,Reviewed in India on 13 June 2024,/gp/customer-reviews/R33QYRKUP1MBKH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,2,India,13-06-2024,NEGATIVE
Aarthi,4,Good,Works fine,Reviewed in India on 10 August 2024,/gp/customer-reviews/RLSUAWT4HS9DS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,3,India,10-08-2024,POSITIVE
aartiwaghri,4,Great buy,Awesome,Reviewed in India on 15 May 2024,/gp/customer-reviews/R32Y4105TH5CHD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,4,India,15-05-2024,POSITIVE
Aashi Attut,2,Very poor battery life,The battery drains too quickly for a new phone. Hate it.,Reviewed in India on 13 July 2022,/gp/customer-reviews/R1N08YFMHMI3T6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,5,India,13-07-2022,NEGATIVE
abdul sherif pk,2,Exchange Impossible,"Like,courier agent was desappointed me. My order is is under exchange bit at the tine of delivery, the agent said that my existing phone not qualified for exchange. He rejected my phone and he go back on",Reviewed in India on 16 October 2023,/gp/customer-reviews/R8YX5RG1VJ58F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,6,India,16-10-2023,NEGATIVE
Abhishek Sen,4,Perfect Product,"Perfect product! Awesome battery backup amazing camera, a all day batter backup improved and brilliant",Reviewed in India on 26 May 2024,/gp/customer-reviews/RTYFSWTSDMUFY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,7,India,26-05-2024,POSITIVE
Abuzar,5,If you love to capture moments then this phone always satisfy you with it’s fabulous camera quality.,Amazing camera 🙌🏻The powerful performance of the iPhone 13 is noticeable immediately. The design is sleek and the camera is exceptional. Shifting from Andriod was worth it.,Reviewed in India on 16 August 2024,/gp/customer-reviews/R5LGMEKLU7TTY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,8,India,16-08-2024,POSITIVE
ADARSHA S K,4,It's Iphone,"Best to buy on big billion days to get it for best price we bought 3 colour was good and iphone is all about brand (Apple) and it's camera (cinematic mode) now with improved battery, there is no point for hang in. IOS as they built with bionic chipset smooth and fast performance, go for it if your budget price is within 45-50K",Reviewed in India on 6 November 2023,/gp/customer-reviews/R1LREJB3J46H9Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,9,India,06-11-2023,POSITIVE
Adeeb,4,Stunning Design and a Beautiful Pink!,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",Reviewed in India on 19 August 2024,/gp/customer-reviews/RJID7UME915NJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,10,India,19-08-2024,POSITIVE
Aditya,4,Good,"As everyone knows it is very Good mobile, but how ever you use battery health percentage will keep decreasing, for me this only issue with iphones",Reviewed in India on 11 April 2024,/gp/customer-reviews/R1NZ5KF4I1Q2FK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,11,India,11-04-2024,POSITIVE
Aditya,1,I phone 13 stopped working within a month.,"My phone stopped working within a month. It was giving nice battery back up, cameras were good everything was fine then suddenly one day phone starts heating, It was so hot that i was unable to touch it at the same time battery was also draining very fast 1% in every 10 seconds. Then eventually phone became dead. Today I left the phone at service center and I am not sure whether issue will be resolved or not. But it was a very bad experience buying an apple product first time. I don't know it happens with only online products or offline products too. But really feeling disappointed today.. Apple is not apple anymore.",Reviewed in India on 11 November 2023,/gp/customer-reviews/R1A0J4V2RWJMGG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,12,India,11-11-2023,NEGATIVE
