,review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label,cleaned_review_body,lemma_review_body,forAnalysis,predicted_sentiment,predicted_sentiment_score,predicted_emotions,emotion
0,8731021068,2,Nice but not happy with the packaging,Genuine products but packaging needs improvement,Reviewed in India on 13 June 2023,/gp/customer-reviews/R3DAUKBP470461/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,1,India,13-06-2023,NEGATIVE,genuine products packaging needs improvement,genuine product packaging need improvement,True,NEGATIVE,0.987890362739563,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.8831895589828491, 'sadness': None, 'surprise': None}",neutral
1,Aakash Sharma,1,Iphone,I love iPhone 13,Reviewed in India on 13 June 2024,/gp/customer-reviews/R33QYRKUP1MBKH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,2,India,13-06-2024,NEGATIVE,love iphone 13,love iphone 13,True,POSITIVE,0.9981400966644287,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.7406808137893677, 'sadness': None, 'surprise': None}",neutral
2,Aarthi,4,Good,Works fine,Reviewed in India on 10 August 2024,/gp/customer-reviews/RLSUAWT4HS9DS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,3,India,10-08-2024,POSITIVE,works fine,work fine,False,POSITIVE,0.9987063407897949,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.8778865337371826, 'sadness': None, 'surprise': None}",neutral
3,aartiwaghri,4,Great buy,Awesome,Reviewed in India on 15 May 2024,/gp/customer-reviews/R32Y4105TH5CHD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,4,India,15-05-2024,POSITIVE,awesome,awesome,False,POSITIVE,0.9985532164573669,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
4,Aashi Attut,2,Very poor battery life,The battery drains too quickly for a new phone. Hate it.,Reviewed in India on 13 July 2022,/gp/customer-reviews/R1N08YFMHMI3T6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,5,India,13-07-2022,NEGATIVE,battery drains quickly for new phone hate,battery drain quickly for new phone hate,True,NEGATIVE,0.9994572997093201,"{'anger': 0.776588499546051, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",anger
5,abdul sherif pk,2,Exchange Impossible,"Like,courier agent was desappointed me. My order is is under exchange bit at the tine of delivery, the agent said that my existing phone not qualified for exchange. He rejected my phone and he go back on",Reviewed in India on 16 October 2023,/gp/customer-reviews/R8YX5RG1VJ58F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,6,India,16-10-2023,NEGATIVE,like courier agent desappointed my order under exchange bit tine delivery agent said my existing phone not qualified for exchange rejected my phone go back on,like courier agent desappointe my order under exchange bit tine delivery agent say my exist phone not qualified for exchange reject my phone go back on,True,NEGATIVE,0.9991986155509949,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': 0.7148452401161194, 'surprise': None}",sadness
6,Abhishek Sen,4,Perfect Product,"Perfect product! Awesome battery backup amazing camera, a all day batter backup improved and brilliant",Reviewed in India on 26 May 2024,/gp/customer-reviews/RTYFSWTSDMUFY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,7,India,26-05-2024,POSITIVE,perfect product awesome battery backup amazing camera all day batter backup improved brilliant,perfect product awesome battery backup amazing camera all day batter backup improve brilliant,True,POSITIVE,0.9988297820091248,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
7,Abuzar,5,If you love to capture moments then this phone always satisfy you with it’s fabulous camera quality.,Amazing camera 🙌🏻The powerful performance of the iPhone 13 is noticeable immediately. The design is sleek and the camera is exceptional. Shifting from Andriod was worth it.,Reviewed in India on 16 August 2024,/gp/customer-reviews/R5LGMEKLU7TTY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,8,India,16-08-2024,POSITIVE,amazing camera powerful performance iphone 13 noticeable immediately design sleek camera exceptional shifting andriod worth,amazing camera powerful performance iphone 13 noticeable immediately design sleek camera exceptional shift andriod worth,True,POSITIVE,0.998784601688385,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
8,ADARSHA S K,4,It's Iphone,"Best to buy on big billion days to get it for best price we bought 3 colour was good and iphone is all about brand (Apple) and it's camera (cinematic mode) now with improved battery, there is no point for hang in. IOS as they built with bionic chipset smooth and fast performance, go for it if your budget price is within 45-50K",Reviewed in India on 6 November 2023,/gp/customer-reviews/R1LREJB3J46H9Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,9,India,06-11-2023,POSITIVE,best buy on big billion days get for best price bought 3 colour good iphone all about brand apple camera cinematic mode with improved battery no point for hang in ios built with bionic chipset smooth fast performance go for budget price within 45 50k,good buy on big billion day get for good price buy 3 colour good iphone all about brand apple camera cinematic mode with improved battery no point for hang in io build with bionic chipset smooth fast performance go for budget price within 45 50k,True,POSITIVE,0.9988974332809448,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",
9,Adeeb,4,Stunning Design and a Beautiful Pink!,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",Reviewed in India on 19 August 2024,/gp/customer-reviews/RJID7UME915NJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,10,India,19-08-2024,POSITIVE,finally upgraded my trusty iphone 5s iphone 13 let tell feels like ve time traveled past future pink color absolutely gorgeous perfect blend subtle stylish making phone look sleek modern ve received many compliments on already design everything d expect apple premium crafted pleasure hold coming 5s like using rotary phone before half expected siri say welcome 21st century display bright vibrant camera huge leap forward overall performance incredibly smooth crazy how much changed face id feels like magic battery life dream compared my old 5s needed charger practically glued re thinking about upgrading especially re coming much older model like hesitate iphone 13 in pink stunner worth leap,finally upgrade my trusty iphone 5s iphone 13 let tell feel like ve time travel past future pink color absolutely gorgeous perfect blend subtle stylish make phone look sleek modern ve receive many compliment on already design everything d expect apple premium craft pleasure hold come 5s like use rotary phone before half expect siri say welcome 21st century display bright vibrant camera huge leap forward overall performance incredibly smooth crazy how much change face i d feel like magic battery life dream compare my old 5s need charger practically glue re think about upgrade especially re come much old model like hesitate iphone 13 in pink stunner worth leap,True,POSITIVE,0.9989049434661865,"{'anger': None, 'disgust': None, 'fear': None, 'joy': 0.762775182723999, 'neutral': None, 'sadness': None, 'surprise': None}",joy
