Unnamed: 0,review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label,cleaned_review_body,lemma_review_body,forAnalysis,predicted_sentiment,predicted_sentiment_score,predicted_emotions,emotion,pros_list
1,Aakash Sharma,1,Iphone,I love iPhone 13,Reviewed in India on 13 June 2024,/gp/customer-reviews/R33QYRKUP1MBKH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,2,India,13-06-2024,NEGATIVE,love iphone 13,love iphone 13,True,POSITIVE,0.9981400966644288,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.7406808137893677, 'sadness': None, 'surprise': None}",['neutral'],"['Love for iPhone brand/model (implied)', 'Positive experience with iPhone 13 specifically']"
6,Abhishek Sen,4,Perfect Product,"Perfect product! Awesome battery backup amazing camera, a all day batter backup improved and brilliant",Reviewed in India on 26 May 2024,/gp/customer-reviews/RTYFSWTSDMUFY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,7,India,26-05-2024,POSITIVE,perfect product awesome battery backup amazing camera all day batter backup improved brilliant,perfect product awesome battery backup amazing camera all day batter backup improve brilliant,True,POSITIVE,0.9988297820091248,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Perfect product overall satisfaction', 'Excellent battery life with extended back up time', 'Highly impressive camera quality', 'All', 'day battery support has been enhanced for better performance', 'The improvement in the camera is remarkable (brilliant)']"
7,Abuzar,5,If you love to capture moments then this phone always satisfy you with it’s fabulous camera quality.,Amazing camera 🙌🏻The powerful performance of the iPhone 13 is noticeable immediately. The design is sleek and the camera is exceptional. Shifting from Andriod was worth it.,Reviewed in India on 16 August 2024,/gp/customer-reviews/R5LGMEKLU7TTY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,8,India,16-08-2024,POSITIVE,amazing camera powerful performance iphone 13 noticeable immediately design sleek camera exceptional shifting andriod worth,amazing camera powerful performance iphone 13 noticeable immediately design sleek camera exceptional shift andriod worth,True,POSITIVE,0.998784601688385,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Powerful performance on iPhone 13 noticed right away', 'Sleek, appealing design', 'Exceptional quality of the camera', 'Decision to switch from Android proved beneficial for user satisfaction']"
8,ADARSHA S K,4,It's Iphone,"Best to buy on big billion days to get it for best price we bought 3 colour was good and iphone is all about brand (Apple) and it's camera (cinematic mode) now with improved battery, there is no point for hang in. IOS as they built with bionic chipset smooth and fast performance, go for it if your budget price is within 45-50K",Reviewed in India on 6 November 2023,/gp/customer-reviews/R1LREJB3J46H9Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,9,India,06-11-2023,POSITIVE,best buy on big billion days get for best price bought 3 colour good iphone all about brand apple camera cinematic mode with improved battery no point for hang in ios built with bionic chipset smooth fast performance go for budget price within 45 50k,good buy on big billion day get for good price buy 3 colour good iphone all about brand apple camera cinematic mode with improved battery no point for hang in io build with bionic chipset smooth fast performance go for budget price within 45 50k,True,POSITIVE,0.9988974332809448,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Good colour options available', 'Improved Apple iPhone camera features (cinematic mode)', 'Smooth and fast performance due to the Bionic chipset in iOS devices.']"
9,Adeeb,4,Stunning Design and a Beautiful Pink!,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",Reviewed in India on 19 August 2024,/gp/customer-reviews/RJID7UME915NJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,10,India,19-08-2024,POSITIVE,finally upgraded my trusty iphone 5s iphone 13 let tell feels like ve time traveled past future pink color absolutely gorgeous perfect blend subtle stylish making phone look sleek modern ve received many compliments on already design everything d expect apple premium crafted pleasure hold coming 5s like using rotary phone before half expected siri say welcome 21st century display bright vibrant camera huge leap forward overall performance incredibly smooth crazy how much changed face id feels like magic battery life dream compared my old 5s needed charger practically glued re thinking about upgrading especially re coming much older model like hesitate iphone 13 in pink stunner worth leap,finally upgrade my trusty iphone 5s iphone 13 let tell feel like ve time travel past future pink color absolutely gorgeous perfect blend subtle stylish make phone look sleek modern ve receive many compliment on already design everything d expect apple premium craft pleasure hold come 5s like use rotary phone before half expect siri say welcome 21st century display bright vibrant camera huge leap forward overall performance incredibly smooth crazy how much change face i d feel like magic battery life dream compare my old 5s need charger practically glue re think about upgrade especially re come much old model like hesitate iphone 13 in pink stunner worth leap,True,POSITIVE,0.9989049434661864,"{'anger': None, 'disgust': None, 'fear': None, 'joy': 0.762775182723999, 'neutral': None, 'sadness': None, 'surprise': None}",['joy'],"['Pink color looks gorgeous and stylish', 'Premium design that feels modern', 'High compliments from others on appearance', ""Siri's welcome response adds to user experience"", 'Bright and vibrant display with improved visual quality', 'Significant camera improvement for users', 'Smooth overall performance enhancement compared to previous models', 'Face ID technology provides a futuristic feel', 'Extended battery life, reducing the need for frequent charging']"
13,Aijazkhan,5,Ios,Good quality features 👍,Reviewed in India on 5 July 2024,/gp/customer-reviews/R1HXYFT2TA1K4J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,14,India,05-07-2024,POSITIVE,good quality features,good quality feature,True,POSITIVE,0.9988666772842408,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.9100189208984375, 'sadness': None, 'surprise': None}",['neutral'],['Good quality features\n\n\n## Instruction 2 (More Diffthemal and Complex)']
17,Akshay Mokashi,5,Awesome,Amazing design on the iPhone 13! It looks so sleek and stylish. The performance is also top-notch.,Reviewed in India on 8 October 2023,/gp/customer-reviews/R35BGB3PKZS1Z4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,18,India,08-10-2023,POSITIVE,amazing design on iphone 13 looks sleek stylish performance also top notch,amazing design on iphone 13 look sleek stylish performance also top notch,True,POSITIVE,0.9988507032394408,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Sleek and stylish design', 'Top', 'notch performance']"
18,Aman Singh,4,Delivery was late it's take 6 days but delivery person is to good,Delivery was late it's take 6 days to come but delivery person i very good i seee lots of bad rating on this seller after order i think I'll choose wrong seller but appario is doing good my phone comes under good quality i check everything Amazon give me open box delivery at that timePros :- camera was osmBattery backup is also good if you charge one time or you use heavy it's provided 7+ hr chargeCinematic mood is also to goodStar light colour is osmDelivery person is to goodNight photo is also good20 watt charge is also doing good job it's take less time to chargeCons :- you can't take WhatsApp chat back-up on iPhoneYou can't listen music or download movie via any app no matter whatever it isYou can't go open anything in iPhone likeAndroid if you dont use apple earlier or you are a new user you hate it first time but after that's you loved it but Android is always best for everythingThanks appario for good offer i purchased on valentine's offer only in 61499 rs thanks,Reviewed in India on 27 February 2023,/gp/customer-reviews/R1E4T5SFDI5KXH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,19,India,27-02-2023,POSITIVE,delivery late take 6 days come delivery person good seee lots bad rating on seller after order think ll choose wrong seller appario good my phone comes under good quality check everything amazon give open box delivery timepros camera osmbattery backup also good charge one time use heavy provided 7 hr chargecinematic mood also goodstar light colour osmdelivery person goodnight photo also good20 watt charge also good job take less time chargecons take whatsapp chat back on iphoneyou listen music download movie via any app no matter whatever isyou go open anything in iphone likeandroid dont use apple earlier new user hate first time after loved android always best for everythingthanks appario for good offer purchased on valentine offer only in 61499 rs thanks,delivery late take 6 day come delivery person good seee lot bad rating on seller after order think ll choose wrong seller appario good my phone come under good quality check everything amazon give open box delivery timepro camera osmbattery backup also good charge one time use heavy provide 7 hr chargecinematic mood also goodstar light colour osmdelivery person goodnight photo also good20 watt charge also good job take less time chargecon take whatsapp chat back on iphoneyou listen music download movie via any app no matter whatever isyou go open anything in iphone likeandroid do not use apple early new user hate first time after love android always good for everythingthank appario for good offer purchase on valentine offer only in 61499 r thank,True,POSITIVE,0.9972155094146729,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': None, 'sadness': None, 'surprise': None}",[],"['Delivery person was very good.', 'Phone comes under good quality.', 'Camera had a cinematic mood and star light color filter which were appreciated.', 'Battery backup of up to 7+ hours with just one charge or heavy usage, taking less time for charging (20 watts).', ""App was helpful in the purchase process during Valentine's offer at discounted price.""]"
29,Amazon Customer,1,Mobile heat and battery 93% just in 1 month,Mobile heat and battery 93% just in 1 month.. Kindly contact me how to change product,Reviewed in India on 30 March 2024,/gp/customer-reviews/R31PS3YECKBUEP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,30,India,30-03-2024,NEGATIVE,mobile heat battery 93 in 1 month kindly contact how change product,mobile heat battery 93 in 1 month kindly contact how change product,True,POSITIVE,0.9957154393196106,"{'anger': None, 'disgust': None, 'fear': None, 'joy': None, 'neutral': 0.8599997758865356, 'sadness': None, 'surprise': None}",['neutral'],"['High efficiency (93% heating) within a short time frame', 'Concern about the remaining lifespan of the product or its performance consistency']"
34,Amis tuscano,5,package and everything is fabulous,excellent product!! Amazon is great like jeff bezos,Reviewed in India on 25 July 2024,/gp/customer-reviews/RTA6F86IY0VCC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,35,India,25-07-2024,POSITIVE,excellent product amazon great like jeff bezos,excellent product amazon great like jeff bezos,True,POSITIVE,0.9988009929656982,"{'anger': None, 'disgust': None, 'fear': None, 'joy': 0.796809732913971, 'neutral': None, 'sadness': None, 'surprise': None}",['joy'],"['Excellent quality', ""Product meets expectations similar to Jeff Bezos' standards for customer satisfaction and business excellence""]"
